iter	MultiClass
0	2.643993964
1	2.56964943
2	2.513238418
3	2.471831403
4	2.438447002
5	2.411767345
6	2.388876249
7	2.370673754
8	2.35653368
9	2.343480363
10	2.331132559
11	2.321832874
12	2.314877407
13	2.307464906
14	2.301663158
15	2.295063151
16	2.290410825
17	2.285003693
18	2.279171206
19	2.275188275
20	2.268189267
21	2.265303257
22	2.261794303
23	2.259043427
24	2.254149694
25	2.251123268
26	2.248716321
27	2.245848791
28	2.243611821
29	2.242117485
30	2.240614556
31	2.237676939
32	2.233934963
33	2.232094775
34	2.229251125
35	2.226377869
36	2.223187368
37	2.221686421
38	2.217552152
39	2.21418959
40	2.212673736
41	2.209665775
42	2.208211575
43	2.206724128
44	2.204478465
45	2.201950481
46	2.199757518
47	2.196083073
48	2.193658497
49	2.190159346
50	2.188008253
51	2.186788631
52	2.183701678
53	2.182009331
54	2.180520868
55	2.179080721
56	2.177737501
57	2.175702961
58	2.173700232
59	2.171656221
60	2.170550924
61	2.167941215
62	2.166167482
63	2.16402659
64	2.162341743
65	2.160662227
66	2.159470912
67	2.158386491
68	2.157112074
69	2.155011143
70	2.153855663
71	2.152764383
72	2.15128253
73	2.150152481
74	2.14865068
75	2.146546007
76	2.145393119
77	2.143823946
78	2.143116176
79	2.14145125
80	2.139607667
81	2.138239713
82	2.135929427
83	2.134584436
84	2.133610697
85	2.132300399
86	2.131119482
87	2.129223915
88	2.12756611
89	2.126125968
90	2.124925156
91	2.123257981
92	2.121101915
93	2.119961422
94	2.118885516
95	2.11731552
96	2.115788896
97	2.114291393
98	2.112796423
99	2.111227703
100	2.109755811
101	2.108578545
102	2.107274012
103	2.105047612
104	2.103187391
105	2.101460439
106	2.099868693
107	2.098972159
108	2.097372379
109	2.095462552
110	2.094176827
111	2.092349102
112	2.091555512
113	2.090529433
114	2.089489043
115	2.088458553
116	2.087397341
117	2.086439447
118	2.085005227
119	2.082839056
120	2.081308461
121	2.080191308
122	2.079124845
123	2.077888234
124	2.076873318
125	2.07571648
126	2.074428363
127	2.073340467
128	2.072321708
129	2.071070349
130	2.069431258
131	2.06836283
132	2.067574578
133	2.066429993
134	2.06495002
135	2.064001177
136	2.062803384
137	2.061728691
138	2.060777575
139	2.059168771
140	2.057872192
141	2.055916185
142	2.05458367
143	2.053156141
144	2.051313928
145	2.050438937
146	2.049191559
147	2.048319529
148	2.046588132
149	2.045515265
150	2.044447098
151	2.043463791
152	2.042321127
153	2.041266999
154	2.040365707
155	2.039520671
156	2.038504101
157	2.037058278
158	2.035932661
159	2.034665184
160	2.033908011
161	2.032588983
162	2.031568578
163	2.03037525
164	2.02953397
165	2.028358741
166	2.027229216
167	2.026251472
168	2.025477378
169	2.024722874
170	2.023521786
171	2.022364441
172	2.021604971
173	2.02048718
174	2.019477614
175	2.018427306
176	2.017697336
177	2.016941702
178	2.015899177
179	2.014856448
180	2.013873174
181	2.013202579
182	2.01230759
183	2.011416689
184	2.010410758
185	2.009468972
186	2.008536498
187	2.007736614
188	2.006591037
189	2.005710653
190	2.004735996
191	2.003679571
192	2.002867443
193	2.001836037
194	2.001163558
195	2.000263943
196	1.999590594
197	1.998085501
198	1.997375705
199	1.996421315
200	1.995174119
201	1.994133626
202	1.993151042
203	1.992530628
204	1.991616608
205	1.990047494
206	1.988946095
207	1.987856813
208	1.986921467
209	1.986371584
210	1.985838608
211	1.985202112
212	1.98405507
213	1.982948539
214	1.982108917
215	1.980917538
216	1.980126545
217	1.979181389
218	1.978537922
219	1.977685986
220	1.976494893
221	1.975829731
222	1.97480731
223	1.973977152
224	1.973224379
225	1.972296215
226	1.971747726
227	1.97069007
228	1.969780485
229	1.969174963
230	1.968340444
231	1.967316099
232	1.966509864
233	1.96571636
234	1.964546016
235	1.963720457
236	1.96285092
237	1.962156257
238	1.960999149
239	1.960234507
240	1.959581158
241	1.95893959
242	1.957826251
243	1.95710101
244	1.956379683
245	1.955457931
246	1.954717027
247	1.953343858
248	1.952626676
249	1.951666537
250	1.950848148
251	1.949792327
252	1.948869092
253	1.9478789
254	1.947133577
255	1.945320521
256	1.944687934
257	1.943419374
258	1.942821761
259	1.941827698
260	1.941180197
261	1.940113693
262	1.938682937
263	1.937808401
264	1.936821276
265	1.935664314
266	1.935103252
267	1.934247584
268	1.93335937
269	1.932558265
270	1.931430624
271	1.930287893
272	1.929496943
273	1.928919538
274	1.928109856
275	1.927397504
276	1.92674541
277	1.9260804
278	1.92511717
279	1.924265613
280	1.923598828
281	1.922669478
282	1.922129764
283	1.920974764
284	1.920333198
285	1.919486433
286	1.918622758
287	1.917344087
288	1.916108397
289	1.915511309
290	1.913985365
291	1.91318113
292	1.91269961
293	1.912043177
294	1.911382363
295	1.91016138
296	1.909672815
297	1.908703313
298	1.907760779
299	1.907277188
300	1.906815851
301	1.905767073
302	1.904736316
303	1.903976983
304	1.902766175
305	1.901977673
306	1.901224958
307	1.900416546
308	1.899732868
309	1.89875017
310	1.89755751
311	1.896535195
312	1.895974194
313	1.895337526
314	1.894435444
315	1.893648101
316	1.893075212
317	1.892437697
318	1.891340897
319	1.890784927
320	1.889929913
321	1.88927843
322	1.888504923
323	1.887421944
324	1.8861987
325	1.885602413
326	1.884369194
327	1.883690118
328	1.883242006
329	1.882545389
330	1.881795455
331	1.880905047
332	1.880067721
333	1.879087506
334	1.878612678
335	1.877967479
336	1.877435356
337	1.876617742
338	1.876011627
339	1.875351298
340	1.874753273
341	1.874041468
342	1.873407361
343	1.872349468
344	1.871441448
345	1.870520668
346	1.869350913
347	1.868711065
348	1.867739084
349	1.867025043
350	1.866016495
351	1.865160244
352	1.864390501
353	1.863650473
354	1.862952391
355	1.862069708
356	1.861371969
357	1.860498635
358	1.859542505
359	1.858323088
360	1.857268871
361	1.856717703
362	1.85631526
363	1.855211625
364	1.854256493
365	1.853248313
366	1.851870388
367	1.851463665
368	1.850696794
369	1.850054672
370	1.849406951
371	1.848950112
372	1.847878822
373	1.846425403
374	1.845546212
375	1.844940013
376	1.843879426
377	1.843030858
378	1.841951222
379	1.841267171
380	1.840299413
