iter	Passed	Remaining
0	1085	541427
1	2177	542280
2	3241	536988
3	4266	529015
4	5266	521339
5	6267	516049
6	7298	513999
7	8299	510427
8	9302	507503
9	10358	507574
10	11412	507318
11	12474	507281
12	13495	505568
13	14500	503390
14	15550	502814
15	16586	501742
16	17588	499721
17	18599	498053
18	19581	495723
19	20556	493367
20	21574	492098
21	22608	491223
22	23576	488948
23	24555	487021
24	25590	486226
25	26567	484347
26	27520	482117
27	28542	481142
28	29567	480211
29	30551	478640
30	31539	477165
31	32490	475179
32	33531	474516
33	34583	473990
34	35660	473771
35	36668	472615
36	37731	472158
37	38765	471310
38	39754	469913
39	40735	468461
40	41727	467141
41	42704	465685
42	43650	463908
43	44644	462680
44	45617	461240
45	46610	460023
46	47606	458847
47	48621	457856
48	49628	456787
49	50689	456204
50	51680	454993
51	52735	454333
52	53704	452941
53	54695	451742
54	55662	450360
55	56639	449070
56	57592	447603
57	58552	446212
58	59549	445104
59	60484	443550
60	61403	441904
61	62329	440330
62	63276	438919
63	64249	437701
64	65234	436567
65	66230	435515
66	67163	434058
67	68168	433069
68	69137	431856
69	70121	430747
70	71254	430539
71	72394	430346
72	73391	429287
73	74449	428587
74	75427	427421
75	76410	426291
76	77376	425066
77	78356	423926
78	79327	422747
79	80301	421580
80	81241	420249
81	82176	418901
82	83095	417478
83	84030	416152
84	84968	414847
85	85911	413572
86	86863	412349
87	87810	411114
88	88768	409931
89	89736	408798
90	90689	407602
91	91683	406597
92	92678	405591
93	93622	404369
94	94620	403384
95	95557	402136
96	96605	401360
97	97604	400379
98	98645	399564
99	99721	398885
100	100807	398237
101	101943	397780
102	103036	397142
103	104047	396181
104	105115	395433
105	106124	394461
106	107126	393464
107	108072	392261
108	109023	391082
109	109953	389835
110	110910	388684
111	111828	387404
112	112746	386131
113	113666	384870
114	114618	383724
115	115521	382415
116	116562	381567
117	117545	380527
118	118555	379576
119	119511	378453
120	120479	377369
121	121457	376320
122	122450	375317
123	123644	374923
124	124755	374267
125	125793	373386
126	126824	372483
127	127741	371248
128	128652	369999
129	129609	368887
130	130578	367812
131	131508	366628
132	132429	365424
133	133341	364201
134	134307	363128
135	135289	362098
136	136252	361019
137	137196	359892
138	138135	358753
139	139072	357613
140	140023	356514
141	140947	355345
142	141868	354174
143	142780	352986
144	143715	351854
145	144642	350709
146	145613	349670
147	146524	348491
148	147497	347460
149	148455	346395
150	149418	345345
151	150341	344202
152	151277	343093
153	152191	341935
154	153103	340779
155	154005	339601
156	154955	338533
157	155925	337510
158	156838	336365
159	157766	335254
160	158693	334143
161	159623	333041
162	160545	331924
163	161481	330839
164	162402	329726
165	163343	328655
166	164316	327648
167	165320	326704
168	166298	325708
169	167246	324654
170	168196	323605
171	169142	322550
172	170124	321564
173	171130	320623
174	172102	319618
175	173028	318529
176	173963	317458
177	174897	316386
178	175855	315360
179	176816	314341
180	177740	313255
181	178694	312224
182	179641	311181
183	180549	310074
184	181486	309018
185	182424	307963
186	183376	306935
187	184325	305901
188	185331	304963
